"ATIV_SQ_ATIVIDADE","ATIV_CD_ATIVIDADE","ATIV_NM_ATIVIDADE"
"432","P100260","PERFURACAO 18 1/8"" COM ALARGADOR 22"""
"433","P100220","PERFURACAO 20"""
"434","D01220","PERFURACAO 20"""
"435","P100218","PERFURACAO 22"""
"436","P100215","PERFURACAO 24"""
"437","P100210","PERFURACAO 26"""
"438","P100190","PERFURACAO 26"" COM ALARGADOR 28"""
"439","P100180","PERFURACAO 26"" COM ALARGADOR 30"""
"440","D01131","PERFURACAO 26"" COM ALARGADOR 31"""
"441","P100160","PERFURACAO 26"" COM ALARGADOR 34"""
"442","P100150","PERFURACAO 26"" COM ALARGADOR 36"""
"443","D01130","PERFURACAO 26"" COM ALARGADOR 36"""
"444","P100130","PERFURACAO 26"" COM ALARGADOR 42"""
"445","P100200","PERFURACAO 28"""
"446","P100120","PERFURACAO 28"" COM ALARGADOR 42"""
"447","P100170","PERFURACAO 30"""
"448","P100140","PERFURACAO 36"""
"449","P100110","PERFURACAO 36"" COM ALARGADOR 42"""
"450","D01120","PERFURACAO 36""/REV 30"""
"451","D01126","PERFURACAO 36""/REV 30"""
"452","P100100","PERFURACAO 42"""
"453","E01104","PERFURACAO 42""/REV 36"""
"454","P100800","PERFURACAO 5 7/8"""
"455","P100780","PERFURACAO 6 1/8"""
"456","P100708","PERFURACAO 6 1/8"""
"457","P100790","PERFURACAO 6"""
"458","P100700","PERFURACAO 8 1/2"""
"459","D01600","PERFURACAO 8 1/2"""
"460","D01600-A","PERFURACAO 8 1/2"""
"461","D01670","PERFURACAO 8 1/2"""
"462","P01600","PERFURACAO 8 1/2"""
"463","P100660","PERFURACAO 8 1/2"" COM ALARGADOR 12 1/4"""
"464","P100680","PERFURACAO 8 1/2"" COM ALARGADOR 9 1/2"""
"465","D01603","PERFURACAO 8 1/2"" COM ALARGADOR 9 1/2"""
"466","P100675","PERFURACAO 8 1/2"" COM ALARGADOR 9 1/2"" PILOTO"
"467","P100670","PERFURACAO 8 1/2"" COM ALARGADOR 9 7/8"""
"468","P100690","PERFURACAO 8 1/2"" COM ALARGADOR 9"""
"469","D01602","PERFURACAO 8 1/2"" COM ALARGADOR 9"""
"470","P100760","PERFURACAO 8 1/2"" COM TESTEMUNHAGEM"
"471","P100750","PERFURACAO 8 1/2"" FINAL"
"472","P100700PF","PERFURACAO 8 1/2"" FINAL"
"473","D01600PF","PERFURACAO 8 1/2"" FINAL"
"474","P100730","PERFURACAO 8 1/2"" HORIZONTAL"
"475","D01600H","PERFURACAO 8 1/2"" HORIZONTAL"
"476","P100740","PERFURACAO 8 1/2"" INTERMEDIARIA"
"477","P100700PI","PERFURACAO 8 1/2"" INTERMEDIARIA"
"478","P100710","PERFURACAO 8 1/2"" PILOTO"
"479","P100770","PERFURACAO 8 1/2"" PILOTO COM TESTEMUNHAGEM"
"480","P100720","PERFURACAO 8 1/2"" PILOTO FINAL"
"481","P100630","PERFURACAO 8 3/4"""
"482","P100620","PERFURACAO 8 3/4"" COM ALARGADOR 12 1/4"""
"483","P100650","PERFURACAO 8 3/4"" FINAL"
"484","P100640","PERFURACAO 8 3/4"" INTERMEDIARIA"
"485","P100635","PERFURACAO 8 3/4"" PILOTO"
"486","P100580","PERFURACAO 9 1/2"""
"487","D01620","PERFURACAO 9 1/2"""
"488","D01610","PERFURACAO 9 1/2"""
"489","P100570","PERFURACAO 9 1/2"" COM ALARGADOR 10 5/8"""
"490","P100565","PERFURACAO 9 1/2"" COM ALARGADOR 11 3/4"""
